"name"   "avgft"   "maxft"   "RMSFT"   "avgstretch"   "maxstretch"   "RMSS"   "avgbsld"   "maxbsld"   "RMSBSLD"
"simulations/sgd_asym_weak_abs_cor_reqt"   13729.6037555333   213310   NA   22.2835761759394   16707.6   305.050124086879   13.9885238117599   8353.8   82.8823032054119
"simulations/sgd_weighted_asym_strong_abs_cor_tsaf"   13714.8713836927   204316   NA   22.4200687422187   17989.2   307.800037552615   14.0270501662796   8994.6   84.7011749855231
"simulations/sgd_weighted_asym_strong_abs_cor_reqt"   13697.0702698843   202155   NA   22.9320653634854   17989.2   312.734358492927   14.3212445871288   8994.6   85.1949154874085
"simulations/sgd_asym_weak_abs_cor_recu"   13698.5251892046   296853   NA   24.0992518936994   23420   415.689506608377   12.8839748808999   3807.3   83.007263751283
"simulations/sgd_weighted_asym_weak_abs_cor_reqt"   13706.9794088248   203389   NA   25.5804210460825   18758   391.121821448131   14.46613709408   8345   87.3034109339914
"simulations/sgd_weighted_asym_weak_squared_cor_reqt"   13834.9859917178   209398   NA   25.9442390756434   17658   392.678729898385   15.0760446850308   7728.5   90.2707107137944
"simulations/double_reqt"   13518.0116093103   239118   NA   27.4306919516559   25547   507.766970200619   13.619249638951   7256.7   101.132783854885
"simulations/sgd_weighted_asym_weak_abs_cor_tsaf"   13917.3697272597   204046   NA   27.5089229763048   27907   488.993936557611   15.5970864447956   7452.5   104.490929624137
"simulations/reqtime"   13729.2818077967   202955   NA   27.7827350667243   20276   439.353013513374   15.085411074059   9007.4   98.4605031864392
"simulations/sgd_asym_strong_squared_cor_reqt"   13893.5753391404   199281   NA   27.8850029436096   28200   501.492784201582   15.4634779112538   8189.8   105.683260606807
"simulations/sgd_weighted_asym_strong_squared_cor_tsaf"   13907.3701984864   210661   NA   28.6691766724496   28492   515.095580991905   15.6661722967739   7948.8   109.929516279601
"simulations/sgd_weighted_asym_strong_abs_cor_recu"   13798.3528202199   213392   NA   29.3683788097003   26003   509.534403960747   15.2856823066143   8994.6   105.485044802899
"simulations/sgd_asym_weak_squared_cor_tsaf"   14041.147465372   228162   NA   37.1658422913751   48587   833.138639062886   17.4380381076806   4858.7   147.30244659016
