
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8081    0.328    0.000  115.226    0.014 online_l2r_maui_scheduler.py:85(new_events_on_job_submission)
    16941    0.119    0.000    0.119    0.000 online_l2r_maui_scheduler.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 opcode.py:1(<module>)
      123    0.000    0.000    0.000    0.000 opcode.py:26(def_op)
       11    0.000    0.000    0.000    0.000 opcode.py:30(name_op)
        7    0.000    0.000    0.000    0.000 opcode.py:34(jrel_op)
        6    0.000    0.000    0.000    0.000 opcode.py:38(jabs_op)
        2    0.000    0.000    0.000    0.000 pointer.py:163(POINTER)
        1    0.000    0.000    0.000    0.000 pointer.py:18(PointerType)
        3    0.000    0.000    0.000    0.000 pointer.py:19(__new__)
        1    0.000    0.000    0.000    0.000 pointer.py:2(<module>)
        2    0.000    0.000    0.000    0.000 pointer.py:63(set_type)
        1    0.000    0.000    0.000    0.000 pointer.py:77(_Pointer)
        1    0.000    0.000    0.000    0.000 posixpath.py:119(basename)
        1    0.000    0.000    0.001    0.001 primitive.py:1(<module>)
        1    0.000    0.000    0.000    0.000 primitive.py:102(SimpleType)
       19    0.000    0.000    0.000    0.000 primitive.py:103(__new__)
     5647    0.027    0.000    0.037    0.000 primitive.py:126(_getvalue)
    11294    0.205    0.000    0.241    0.000 primitive.py:133(_setvalue)
        1    0.000    0.000    0.000    0.000 primitive.py:16(NULL)
     5647    0.046    0.000    0.140    0.000 primitive.py:296(_CData_output)
       38    0.000    0.000    0.000    0.000 primitive.py:302(_sizeofinstances)
    16961    0.028    0.000    0.028    0.000 primitive.py:308(_is_pointer_like)
        1    0.000    0.000    0.000    0.000 primitive.py:311(_SimpleCData)
    11294    0.113    0.000    0.366    0.000 primitive.py:315(__init__)
        1    0.000    0.000    0.000    0.000 primitive.py:50(GlobalPyobjContainer)
        1    0.000    0.000    0.000    0.000 primitive.py:51(__init__)
        1    0.000    0.000    0.000    0.000 prototype.py:102(StupidScheduler)
        1    0.000    0.000    0.000    0.000 prototype.py:121(Machine)
      161    0.001    0.000    0.002    0.000 prototype.py:123(__init__)
    24081    0.074    0.000    0.283    0.000 prototype.py:127(_start_job_handler)
    72243    0.048    0.000    0.056    0.000 prototype.py:13(__init__)
    24081    0.030    0.000    0.158    0.000 prototype.py:135(_add_job)
        1    0.000    0.000    0.000    0.000 prototype.py:144(ValidatingMachine)
      161    0.002    0.000    0.004    0.000 prototype.py:149(__init__)
    24081    0.031    0.000    0.209    0.000 prototype.py:156(_add_job)
    24081    0.021    0.000    0.094    0.000 prototype.py:161(_remove_job_handler)
    24081    0.071    0.000    0.146    0.000 prototype.py:198(_job_input_to_job)
     3688    0.009    0.000    0.062    0.000 prototype.py:21(__cmp__)
     7376    0.010    0.000    0.046    0.000 prototype.py:24(_cmp_tuple)
    24242    0.023    0.000    0.258    0.000 prototype.py:251(_job_inputs_to_jobs)
        1    0.000    0.000    0.000    0.000 prototype.py:256(Simulator)
     3688    0.012    0.000    0.030    0.000 prototype.py:29(__eq__)
        1    0.000    0.000    0.000    0.000 prototype.py:3(<module>)
     7376    0.018    0.000    0.018    0.000 prototype.py:32(_eq_tuple)
     7376    0.027    0.000    0.035    0.000 prototype.py:37(_type_order)
        1    0.000    0.000    0.000    0.000 prototype.py:46(JobSubmissionEvent)
        1    0.000    0.000    0.000    0.000 prototype.py:47(JobStartEvent)
        1    0.000    0.000    0.000    0.000 prototype.py:48(JobTerminationEvent)
        1    0.000    0.000    0.000    0.000 prototype.py:49(JobPredictionIsOverEvent)
        1    0.000    0.000    0.000    0.000 prototype.py:5(JobEvent)
        1    0.000    0.000    0.000    0.000 prototype.py:54(Job)
    24081    0.008    0.000    0.008    0.000 prototype.py:55(__init__)
    72243    0.007    0.000    0.007    0.000 prototype.py:8(next_counter)
    24081    0.007    0.000    0.007    0.000 prototype.py:89(finish_time)
   100569    0.028    0.000    0.028    0.000 prototype.py:94(predicted_finish_time)
        1    0.000    0.000    0.001    0.001 re.py:144(sub)
        2    0.000    0.000    0.001    0.000 re.py:164(split)
        8    0.000    0.000    0.030    0.004 re.py:188(compile)
       11    0.000    0.000    0.032    0.003 re.py:226(_compile)
        1    0.000    0.000    0.000    0.000 re.py:251(_compile_repl)
        1    0.000    0.000    0.000    0.000 re.py:271(_subx)
        4    0.000    0.000    0.000    0.000 re.py:277(filter)
        1    0.000    0.000  126.005  126.005 run.py:273(sim_statistics)
        1    0.002    0.002  126.028  126.028 run.py:3(<module>)
        1    0.000    0.000  125.961  125.961 run.py:86(simulate_scheduler)
        1    0.001    0.001    0.006    0.006 run_simulator.py:3(<module>)
    161/1    0.017    0.000  125.961  125.961 run_simulator.py:32(parse_and_run_simulator)
        1    0.000    0.000    0.001    0.001 scheduling_performance_measurement.py:2(<module>)
      160    0.010    0.000    0.123    0.001 scheduling_performance_measurement.py:26(average)
        1    0.002    0.002    0.044    0.044 scheduling_performance_measurement.py:39(all)
        1    0.000    0.000    0.000    0.000 scheduling_performance_measurement.py:48(SlowdownMeasure)
        1    0.000    0.000    0.000    0.000 scheduling_performance_measurement.py:5(SchedulingPerformanceMeasure)
      161    0.088    0.001    0.152    0.001 scheduling_performance_measurement.py:50(compute_log)
        1    0.000    0.000    0.000    0.000 scheduling_performance_measurement.py:60(Slowdown)
        1    0.000    0.000    0.000    0.000 scheduling_performance_measurement.py:69(BoundedSlowdown)
